epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_device_id__d004,test_acc_device_id__d005,test_acc_device_id__d006,test_acc_device_id__d008,test_acc_device_id__d009,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_device_id__d004,test_acc_lng_device_id__d005,test_acc_lng_device_id__d006,test_acc_lng_device_id__d008,test_acc_lng_device_id__d009,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_device_id__d004,test_n_device_id__d005,test_n_device_id__d006,test_n_device_id__d008,test_n_device_id__d009,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_device_id__d004,train_acc_device_id__d005,train_acc_device_id__d006,train_acc_device_id__d007,train_acc_device_id__d008,train_acc_device_id__d009,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_device_id__d004,train_acc_lng_device_id__d005,train_acc_lng_device_id__d006,train_acc_lng_device_id__d007,train_acc_lng_device_id__d008,train_acc_lng_device_id__d009,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_device_id__d004,train_n_device_id__d005,train_n_device_id__d006,train_n_device_id__d007,train_n_device_id__d008,train_n_device_id__d009,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
11,0.05512321660181582,0.05759162303664921,0.049738219895287955,0.05235602094240838,0.06179775280898876,0.06896551724137931,0.05,0.05,0.075,0.03067484662576687,0.0,0.11284722222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06085526315789474,0.05139186295503212,0.06626506024096386,0.050359712230215826,0.01282051282051282,0.080338266384778,0.015100671140939598,3.799845817951841,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.06918238993710692,0.07395498392282958,0.07609860664523044,0.07288317256162916,0.055710306406685235,0.06276150627615062,0.03333333333333333,0.05,0.05,0.0375,0.03103448275862069,0.0,0.1425755584756899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.056074766355140186,0.07540322580645162,0.06307692307692307,0.06661251015434606,0.10084033613445378,0.09582441113490364,0.04136389044158748,3.777457416921422,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
12,0.07846952010376135,0.07591623036649214,0.07591623036649214,0.06806282722513089,0.09550561797752809,0.10344827586206896,0.08,0.0,0.15,0.024539877300613498,0.0,0.18229166666666666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09046052631578948,0.07066381156316917,0.09759036144578313,0.0683453237410072,0.01282051282051282,0.11945031712473574,0.013422818791946308,3.676509634530034,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.0771123872026251,0.08145766345123258,0.08145766345123258,0.08467309753483387,0.0584958217270195,0.06694560669456066,0.05,0.075,0.05,0.05,0.026724137931034484,0.0,0.16491458607095927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07051826677994902,0.08024193548387097,0.06923076923076923,0.06823720552396426,0.1323529411764706,0.10546038543897217,0.047512576858580215,3.639967724636079,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
13,0.07717250324254216,0.07329842931937172,0.07068062827225131,0.060209424083769635,0.10112359550561797,0.08620689655172414,0.12,0.05,0.125,0.023006134969325152,0.0,0.18055555555555555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09539473684210527,0.06531049250535331,0.10722891566265061,0.052158273381294966,0.00641025641025641,0.11522198731501057,0.016778523489932886,3.6258692215698085,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.08914410719168718,0.09753483386923902,0.09003215434083602,0.1007502679528403,0.06963788300835655,0.06694560669456066,0.058333333333333334,0.1,0.0,0.0625,0.021551724137931036,0.0,0.19776609724047306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07986406117247238,0.0935483870967742,0.07179487179487179,0.0982940698619009,0.13655462184873948,0.1311563169164882,0.045276690888764674,3.581034526037394,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
14,0.0907911802853437,0.08900523560209424,0.08638743455497382,0.07068062827225131,0.11797752808988764,0.10344827586206896,0.11,0.15,0.125,0.0352760736196319,0.0,0.203125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11019736842105263,0.07815845824411134,0.11566265060240964,0.07553956834532374,0.01282051282051282,0.13530655391120508,0.020134228187919462,3.550868822288266,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.09762100082034454,0.09860664523043944,0.1007502679528403,0.10718113612004287,0.08635097493036212,0.100418410041841,0.041666666666666664,0.1,0.05,0.075,0.03103448275862069,0.0,0.21090670170827858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0875106202209006,0.10241935483870968,0.08564102564102564,0.09748172217709179,0.14705882352941177,0.14079229122055675,0.05254332029066518,3.494400520940149,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
15,0.10376134889753567,0.10471204188481675,0.10732984293193717,0.09162303664921466,0.12921348314606743,0.1206896551724138,0.09,0.15,0.05,0.04294478527607362,0.0,0.22916666666666666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12664473684210525,0.08886509635974305,0.13132530120481928,0.08633093525179857,0.019230769230769232,0.1522198731501057,0.026845637583892617,3.4572831684513314,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.11512168444079847,0.1189710610932476,0.12433011789924973,0.13183279742765272,0.08356545961002786,0.100418410041841,0.041666666666666664,0.125,0.05,0.075,0.04224137931034483,0.0,0.24441524310118265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10110450297366186,0.1217741935483871,0.09846153846153846,0.11291632818846466,0.18907563025210083,0.16006423982869378,0.06819452207937395,3.385776047241111,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
16,0.10570687418936446,0.10732984293193717,0.09424083769633508,0.07853403141361257,0.14606741573033707,0.15517241379310345,0.12,0.2,0.125,0.03834355828220859,0.0,0.23958333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13980263157894737,0.0835117773019272,0.12771084337349398,0.09712230215827339,0.019230769230769232,0.15961945031712474,0.020134228187919462,3.4017578030993194,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.12441892261416461,0.13504823151125403,0.14040728831725616,0.12540192926045016,0.08356545961002786,0.1087866108786611,0.05,0.275,0.05,0.0875,0.034482758620689655,0.0,0.2726675427069645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10195412064570943,0.1350806451612903,0.10358974358974359,0.1372867587327376,0.17647058823529413,0.18522483940042828,0.06092789267747345,3.318682504997639,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
17,0.11348897535667964,0.1099476439790576,0.10209424083769633,0.09162303664921466,0.16853932584269662,0.22413793103448276,0.09,0.15,0.1,0.046012269938650305,0.0,0.2517361111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14473684210526316,0.09314775160599571,0.14096385542168674,0.09712230215827339,0.02564102564102564,0.16913319238900634,0.025167785234899327,3.2867102938403416,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.12660650806672136,0.13719185423365488,0.1457663451232583,0.12111468381564845,0.09749303621169916,0.11297071129707113,0.041666666666666664,0.275,0.05,0.0875,0.04741379310344827,0.0,0.2680683311432326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09260832625318606,0.14274193548387096,0.10717948717948718,0.12753858651502845,0.20378151260504201,0.1771948608137045,0.0737842370039128,3.2037496548517828,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
18,0.12127107652399481,0.112565445026178,0.10209424083769633,0.112565445026178,0.16853932584269662,0.1724137931034483,0.1,0.25,0.175,0.0352760736196319,0.0,0.2847222222222222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15789473684210525,0.0974304068522484,0.1566265060240964,0.10071942446043165,0.00641025641025641,0.18181818181818182,0.025167785234899327,3.2305348813147243,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.13371616078753076,0.15112540192926044,0.15005359056806003,0.1307609860664523,0.10027855153203342,0.11297071129707113,0.03333333333333333,0.225,0.05,0.1125,0.032758620689655175,0.0,0.29632063074901444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10025488530161428,0.1495967741935484,0.11487179487179487,0.12916328188464662,0.22268907563025211,0.19271948608137046,0.07210732252655115,3.139152366214676,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
19,0.14461738002594035,0.14397905759162305,0.11780104712041885,0.1099476439790576,0.20224719101123595,0.2413793103448276,0.17,0.15,0.275,0.06901840490797546,0.0,0.3090277777777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17434210526315788,0.1252676659528908,0.1855421686746988,0.11510791366906475,0.03205128205128205,0.20613107822410148,0.04697986577181208,3.134471775802038,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.1397320207820618,0.15434083601286175,0.14790996784565916,0.12861736334405144,0.1309192200557103,0.1506276150627615,0.05,0.25,0.15,0.0875,0.06896551724137931,0.0,0.2831800262812089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.10025488530161428,0.15846774193548388,0.12051282051282051,0.132412672623883,0.23739495798319327,0.18683083511777301,0.09055338177752935,3.0407106369807155,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
20,0.12905317769131,0.12827225130890052,0.10209424083769633,0.09424083769633508,0.20786516853932585,0.1724137931034483,0.15,0.25,0.2,0.04754601226993865,0.0,0.2916666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1611842105263158,0.10813704496788008,0.172289156626506,0.09712230215827339,0.01282051282051282,0.18710359408033828,0.03691275167785235,3.152714326069358,1542,382,382,382,178,58,100,20,40,652,314,576,608,934,830,556,156,946,596,0.1361771944216571,0.1564844587352626,0.14469453376205788,0.1264737406216506,0.11142061281337047,0.1297071129707113,0.06666666666666667,0.275,0.05,0.1,0.04396551724137931,0.0,0.29369250985545337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09430756159728122,0.15604838709677418,0.11487179487179487,0.12103980503655565,0.26260504201680673,0.18201284796573874,0.08831749580771381,3.049395658489391,3657,933,933,933,359,239,120,40,20,80,1160,975,1522,1177,2480,1950,1231,476,1868,1789
