epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.0237807335751713,0.02176541717049577,0.02418379685610641,0.02539298669891173,0.057435897435897436,0.0,0.0,0.0,0.004901960784313725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02619047619047619,0.02254722730042657,0.01773049645390071,0.027700831024930747,0.03333333333333333,0.029752899646999495,0.0,4.5857116625415655,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.028640441683919944,0.028467908902691512,0.030538302277432712,0.026915113871635612,0.07773009060562709,0.0,0.0,0.0,0.0028089887640449437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.020202020202020204,0.0330188679245283,0.031209362808842653,0.02172096908939014,0.038356164383561646,0.037821827295511506,0.0,4.586192508168349,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
2,0.042724707779121324,0.044740024183796856,0.03506650544135429,0.04836759371221282,0.10256410256410256,0.0,0.0,0.0,0.00980392156862745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058333333333333334,0.03473491773308958,0.031914893617021274,0.048938134810710986,0.06296296296296296,0.05345436207766011,0.0,4.512994903847365,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.04934437543133195,0.048654244306418216,0.04710144927536232,0.05227743271221532,0.12923223652837387,0.0010893246187363835,0.0,0.0,0.013108614232209739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04292929292929293,0.05267295597484277,0.055483311660164715,0.03634085213032581,0.06484018264840183,0.06402369560264297,0.0035536602700781805,4.508172782229258,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
3,0.03345425231761386,0.045949214026602174,0.02176541717049577,0.032648125755743655,0.07282051282051281,0.0,0.013513513513513514,0.0,0.00980392156862745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.036904761904761905,0.031687995124923825,0.023936170212765957,0.036011080332409975,0.06296296296296296,0.038830055471507814,0.012048192771084338,4.393482163662585,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.04589371980676329,0.04089026915113872,0.04710144927536232,0.049689440993788817,0.09251311397234144,0.0032679738562091504,0.039473684210526314,0.0,0.03089887640449438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.046464646464646465,0.04559748427672956,0.05158214130905939,0.038011695906432746,0.05114155251141553,0.053087263613579405,0.023454157782515993,4.356797749458139,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
4,0.042724707779121324,0.05199516324062878,0.030229746070133012,0.045949214026602174,0.09435897435897436,0.011695906432748537,0.0045045045045045045,0.0,0.013071895424836602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04523809523809524,0.04143814747105423,0.03102836879432624,0.04524469067405355,0.08148148148148149,0.05194150277357539,0.006024096385542169,4.283008629254207,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.0722912353347136,0.07039337474120083,0.07194616977225674,0.07453416149068323,0.14163090128755365,0.023965141612200435,0.039473684210526314,0.0012484394506866417,0.05898876404494382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06515151515151515,0.0759958071278826,0.07498916341569137,0.05806182121971595,0.09771689497716896,0.08521303258145363,0.031982942430703626,4.199300340819638,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
5,0.049979846835953246,0.05804111245465538,0.03385731559854897,0.05804111245465538,0.10871794871794872,0.014619883040935672,0.0,0.027777777777777776,0.016339869281045753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058333333333333334,0.04570383912248629,0.03368794326241135,0.05263157894736842,0.10740740740740741,0.0600100857286939,0.010040160642570281,4.185877168433217,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.0826432022084196,0.07971014492753623,0.07712215320910973,0.09109730848861283,0.1492608488316643,0.032679738562091505,0.05263157894736842,0.02122347066167291,0.06647940074906367,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07575757575757576,0.08621593291404613,0.08279150411790204,0.07644110275689223,0.0958904109589041,0.09683299156983367,0.03837953091684435,4.058103710145602,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
6,0.056831922611850064,0.060459492140266025,0.03869407496977025,0.07134220072551391,0.12,0.043859649122807015,0.0,0.037037037037037035,0.008169934640522876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06428571428571428,0.05301645338208409,0.03368794326241135,0.07479224376731301,0.08148148148148149,0.06858295511850732,0.010040160642570281,4.11730361686316,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.09782608695652174,0.08799171842650104,0.09109730848861283,0.11438923395445134,0.17739628040057226,0.08714596949891068,0.04057017543859649,0.03870162297128589,0.04400749063670412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08282828282828283,0.10560796645702306,0.09926311226701344,0.08646616541353383,0.11963470319634703,0.11619958988380041,0.04051172707889126,3.9622758084778296,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
7,0.060459492140266025,0.06892382103990327,0.037484885126964934,0.07496977025392987,0.12205128205128205,0.04678362573099415,0.006756756756756757,0.037037037037037035,0.013071895424836602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06547619047619048,0.0578915295551493,0.03723404255319149,0.07663896583564174,0.09259259259259259,0.07211296016137166,0.014056224899598393,4.0511341763811215,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.10351966873706005,0.08799171842650104,0.09989648033126294,0.12267080745341614,0.17548879351454458,0.09041394335511982,0.04824561403508772,0.049937578027465665,0.060861423220973786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08535353535353535,0.11294549266247379,0.1035977459904638,0.0948203842940685,0.1223744292237443,0.12052859421280473,0.05046197583511016,3.848935639965197,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
8,0.07174526400644901,0.07859733978234583,0.05078597339782346,0.08585247883917775,0.1282051282051282,0.06140350877192982,0.024774774774774775,0.009259259259259259,0.032679738562091505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06904761904761905,0.07312614259597806,0.054078014184397165,0.08587257617728532,0.08888888888888889,0.08522440746343923,0.018072289156626505,4.014984290766072,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.11456176673567978,0.10351966873706005,0.10921325051759834,0.13095238095238096,0.1888412017167382,0.11655773420479303,0.0581140350877193,0.05493133583021224,0.0599250936329588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09696969696969697,0.12368972746331237,0.11096662332032943,0.10902255639097744,0.13424657534246576,0.13328776486671223,0.05614783226723525,3.7932364264383573,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
9,0.0951229343006852,0.11608222490931076,0.06529625151148731,0.10399032648125756,0.16615384615384615,0.0935672514619883,0.03153153153153153,0.037037037037037035,0.0392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09761904761904762,0.09384521633150518,0.06560283687943262,0.11542012927054478,0.13703703703703704,0.10993444276348967,0.03614457831325301,3.8341812816467655,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.15821256038647344,0.15424430641821946,0.16097308488612835,0.15942028985507245,0.2312827849308536,0.17429193899782136,0.10526315789473684,0.07990012484394507,0.10486891385767791,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12878787878787878,0.17348008385744235,0.15431296055483312,0.15413533834586465,0.17534246575342466,0.17703349282296652,0.09950248756218906,3.5886479516618413,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
10,0.12454655380894801,0.12575574365175332,0.10640870616686819,0.1414752116082225,0.17743589743589744,0.1286549707602339,0.07207207207207207,0.08333333333333333,0.08333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12857142857142856,0.12248628884826325,0.09131205673758866,0.1440443213296399,0.18518518518518517,0.13817448310640443,0.07028112449799197,3.70665239413291,2481,827,827,827,975,342,444,108,612,840,1641,1128,1083,270,1983,498,0.18271221532091098,0.17391304347826086,0.20082815734989648,0.17339544513457558,0.23271340009537433,0.19498910675381265,0.12719298245614036,0.10736579275905118,0.17790262172284643,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1505050505050505,0.19942348008385744,0.16731686172518423,0.18295739348370926,0.2146118721461187,0.20072909546593756,0.12651030561478321,3.452680209984526,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095,4389,1407
