fold_index,feature_name,C,pooling_mechanism,algorithm,train_acc,test_acc
0,retrained-wav2vec_features-z,0.7,neuron_mean,svm,0.9215686274509803,0.5151515151515151
0,retrained-wav2vec_features-z,0.7,neuron_std,log_reg,0.7254901960784313,0.5454545454545454
0,retrained-wav2vec_features-z,0.7,neuron_std,svm,0.9803921568627451,0.6060606060606061
1,wav2vec_features-c,1,neuron_mean,log_reg,0.6470588235294118,0.48484848484848486
1,wav2vec_features-c,1,neuron_mean,svm,0.8431372549019608,0.5151515151515151
1,wav2vec_features-c,1,neuron_std,log_reg,0.7254901960784313,0.45454545454545453
1,wav2vec_features-c,1,neuron_std,svm,0.9803921568627451,0.48484848484848486
1,wav2vec_features-c,0.9,neuron_mean,log_reg,0.6470588235294118,0.48484848484848486
1,wav2vec_features-c,0.9,neuron_mean,svm,0.8431372549019608,0.5151515151515151
1,wav2vec_features-c,0.9,neuron_std,log_reg,0.7254901960784313,0.45454545454545453
1,wav2vec_features-c,0.9,neuron_std,svm,0.9803921568627451,0.48484848484848486
1,wav2vec_features-c,0.8,neuron_mean,log_reg,0.6078431372549019,0.48484848484848486
1,wav2vec_features-c,0.8,neuron_mean,svm,0.8235294117647058,0.5454545454545454
1,wav2vec_features-c,0.8,neuron_std,log_reg,0.7254901960784313,0.42424242424242425
1,wav2vec_features-c,0.8,neuron_std,svm,0.9411764705882353,0.48484848484848486
1,wav2vec_features-c,0.7,neuron_mean,log_reg,0.6078431372549019,0.45454545454545453
1,wav2vec_features-c,0.7,neuron_mean,svm,0.8235294117647058,0.5151515151515151
1,wav2vec_features-c,0.7,neuron_std,log_reg,0.7254901960784313,0.36363636363636365
1,wav2vec_features-c,0.7,neuron_std,svm,0.9411764705882353,0.48484848484848486
1,wav2vec_features-z,1,neuron_mean,log_reg,0.47058823529411764,0.3939393939393939
1,wav2vec_features-z,1,neuron_mean,svm,0.6666666666666666,0.48484848484848486
1,wav2vec_features-z,1,neuron_std,log_reg,0.45098039215686275,0.36363636363636365
1,wav2vec_features-z,1,neuron_std,svm,1.0,0.6666666666666666
1,wav2vec_features-z,0.9,neuron_mean,log_reg,0.45098039215686275,0.36363636363636365
1,wav2vec_features-z,0.9,neuron_mean,svm,0.6078431372549019,0.45454545454545453
1,wav2vec_features-z,0.9,neuron_std,log_reg,0.49019607843137253,0.3333333333333333
1,wav2vec_features-z,0.9,neuron_std,svm,1.0,0.6363636363636364
1,wav2vec_features-z,0.8,neuron_mean,log_reg,0.45098039215686275,0.36363636363636365
1,wav2vec_features-z,0.8,neuron_mean,svm,0.5686274509803921,0.48484848484848486
1,wav2vec_features-z,0.8,neuron_std,log_reg,0.5098039215686274,0.3333333333333333
1,wav2vec_features-z,0.8,neuron_std,svm,1.0,0.6363636363636364
1,wav2vec_features-z,0.7,neuron_mean,log_reg,0.47058823529411764,0.36363636363636365
1,wav2vec_features-z,0.7,neuron_mean,svm,0.5686274509803921,0.45454545454545453
1,wav2vec_features-z,0.7,neuron_std,log_reg,0.5098039215686274,0.3333333333333333
1,wav2vec_features-z,0.7,neuron_std,svm,1.0,0.6666666666666666
1,retrained-wav2vec_features-c,1,neuron_mean,log_reg,0.6274509803921569,0.3939393939393939
1,retrained-wav2vec_features-c,1,neuron_mean,svm,0.9215686274509803,0.5757575757575758
1,retrained-wav2vec_features-c,1,neuron_std,log_reg,0.6078431372549019,0.3939393939393939
1,retrained-wav2vec_features-c,1,neuron_std,svm,0.9607843137254902,0.6060606060606061
1,retrained-wav2vec_features-c,0.9,neuron_mean,log_reg,0.6078431372549019,0.3939393939393939
1,retrained-wav2vec_features-c,0.9,neuron_mean,svm,0.9019607843137255,0.5757575757575758
1,retrained-wav2vec_features-c,0.9,neuron_std,log_reg,0.5882352941176471,0.3333333333333333
1,retrained-wav2vec_features-c,0.9,neuron_std,svm,0.9607843137254902,0.6060606060606061
1,retrained-wav2vec_features-c,0.8,neuron_mean,log_reg,0.5882352941176471,0.36363636363636365
1,retrained-wav2vec_features-c,0.8,neuron_mean,svm,0.9019607843137255,0.5757575757575758
1,retrained-wav2vec_features-c,0.8,neuron_std,log_reg,0.5882352941176471,0.30303030303030304
1,retrained-wav2vec_features-c,0.8,neuron_std,svm,0.9607843137254902,0.6363636363636364
1,retrained-wav2vec_features-c,0.7,neuron_mean,log_reg,0.5882352941176471,0.3939393939393939
1,retrained-wav2vec_features-c,0.7,neuron_mean,svm,0.8823529411764706,0.5757575757575758
1,retrained-wav2vec_features-c,0.7,neuron_std,log_reg,0.5686274509803921,0.3333333333333333
1,retrained-wav2vec_features-c,0.7,neuron_std,svm,0.9607843137254902,0.6666666666666666
1,retrained-wav2vec_features-z,1,neuron_mean,log_reg,0.5686274509803921,0.42424242424242425
1,retrained-wav2vec_features-z,1,neuron_mean,svm,0.7843137254901961,0.6363636363636364
1,retrained-wav2vec_features-z,1,neuron_std,log_reg,0.5490196078431373,0.3333333333333333
1,retrained-wav2vec_features-z,1,neuron_std,svm,0.9803921568627451,0.8484848484848485
1,retrained-wav2vec_features-z,0.9,neuron_mean,log_reg,0.5686274509803921,0.42424242424242425
1,retrained-wav2vec_features-z,0.9,neuron_mean,svm,0.7843137254901961,0.5454545454545454
1,retrained-wav2vec_features-z,0.9,neuron_std,log_reg,0.5490196078431373,0.3333333333333333
1,retrained-wav2vec_features-z,0.9,neuron_std,svm,0.9411764705882353,0.8484848484848485
1,retrained-wav2vec_features-z,0.8,neuron_mean,log_reg,0.5686274509803921,0.42424242424242425
1,retrained-wav2vec_features-z,0.8,neuron_mean,svm,0.7647058823529411,0.48484848484848486
1,retrained-wav2vec_features-z,0.8,neuron_std,log_reg,0.5294117647058824,0.3333333333333333
1,retrained-wav2vec_features-z,0.8,neuron_std,svm,0.9411764705882353,0.8484848484848485
1,retrained-wav2vec_features-z,0.7,neuron_mean,log_reg,0.5686274509803921,0.42424242424242425
1,retrained-wav2vec_features-z,0.7,neuron_mean,svm,0.6666666666666666,0.45454545454545453
1,retrained-wav2vec_features-z,0.7,neuron_std,log_reg,0.5294117647058824,0.3333333333333333
1,retrained-wav2vec_features-z,0.7,neuron_std,svm,0.9411764705882353,0.9090909090909091
2,wav2vec_features-c,1,neuron_mean,log_reg,0.7058823529411765,0.5454545454545454
2,wav2vec_features-c,1,neuron_mean,svm,0.8823529411764706,0.5757575757575758
2,wav2vec_features-c,1,neuron_std,log_reg,0.7647058823529411,0.5454545454545454
2,wav2vec_features-c,1,neuron_std,svm,0.9607843137254902,0.6060606060606061
2,wav2vec_features-c,0.9,neuron_mean,log_reg,0.7058823529411765,0.5151515151515151
2,wav2vec_features-c,0.9,neuron_mean,svm,0.8627450980392157,0.5757575757575758
2,wav2vec_features-c,0.9,neuron_std,log_reg,0.7058823529411765,0.5454545454545454
2,wav2vec_features-c,0.9,neuron_std,svm,0.9607843137254902,0.6060606060606061
2,wav2vec_features-c,0.8,neuron_mean,log_reg,0.7058823529411765,0.5151515151515151
2,wav2vec_features-c,0.8,neuron_mean,svm,0.8431372549019608,0.5454545454545454
2,wav2vec_features-c,0.8,neuron_std,log_reg,0.7058823529411765,0.5454545454545454
2,wav2vec_features-c,0.8,neuron_std,svm,0.9411764705882353,0.5757575757575758
2,wav2vec_features-c,0.7,neuron_mean,log_reg,0.6862745098039216,0.48484848484848486
2,wav2vec_features-c,0.7,neuron_mean,svm,0.8235294117647058,0.5454545454545454
2,wav2vec_features-c,0.7,neuron_std,log_reg,0.7058823529411765,0.5454545454545454
2,wav2vec_features-c,0.7,neuron_std,svm,0.9411764705882353,0.5757575757575758
2,wav2vec_features-z,1,neuron_mean,log_reg,0.5490196078431373,0.36363636363636365
2,wav2vec_features-z,1,neuron_mean,svm,0.8431372549019608,0.48484848484848486
2,wav2vec_features-z,1,neuron_std,log_reg,0.5490196078431373,0.42424242424242425
2,wav2vec_features-z,1,neuron_std,svm,1.0,0.6363636363636364
2,wav2vec_features-z,0.9,neuron_mean,log_reg,0.5490196078431373,0.36363636363636365
2,wav2vec_features-z,0.9,neuron_mean,svm,0.803921568627451,0.48484848484848486
2,wav2vec_features-z,0.9,neuron_std,log_reg,0.5294117647058824,0.42424242424242425
2,wav2vec_features-z,0.9,neuron_std,svm,1.0,0.6666666666666666
2,wav2vec_features-z,0.8,neuron_mean,log_reg,0.5490196078431373,0.36363636363636365
2,wav2vec_features-z,0.8,neuron_mean,svm,0.803921568627451,0.5151515151515151
2,wav2vec_features-z,0.8,neuron_std,log_reg,0.5294117647058824,0.42424242424242425
2,wav2vec_features-z,0.8,neuron_std,svm,1.0,0.6060606060606061
2,wav2vec_features-z,0.7,neuron_mean,log_reg,0.5686274509803921,0.3939393939393939
2,wav2vec_features-z,0.7,neuron_mean,svm,0.7647058823529411,0.48484848484848486
2,wav2vec_features-z,0.7,neuron_std,log_reg,0.5490196078431373,0.36363636363636365
2,wav2vec_features-z,0.7,neuron_std,svm,1.0,0.6060606060606061
2,retrained-wav2vec_features-c,1,neuron_mean,log_reg,0.5882352941176471,0.3939393939393939
2,retrained-wav2vec_features-c,1,neuron_mean,svm,0.9607843137254902,0.696969696969697
2,retrained-wav2vec_features-c,1,neuron_std,log_reg,0.6078431372549019,0.45454545454545453
2,retrained-wav2vec_features-c,1,neuron_std,svm,0.9803921568627451,0.7878787878787878
2,retrained-wav2vec_features-c,0.9,neuron_mean,log_reg,0.5882352941176471,0.3939393939393939
2,retrained-wav2vec_features-c,0.9,neuron_mean,svm,0.9607843137254902,0.6666666666666666
2,retrained-wav2vec_features-c,0.9,neuron_std,log_reg,0.6078431372549019,0.45454545454545453
2,retrained-wav2vec_features-c,0.9,neuron_std,svm,0.9803921568627451,0.7878787878787878
2,retrained-wav2vec_features-c,0.8,neuron_mean,log_reg,0.5882352941176471,0.42424242424242425
2,retrained-wav2vec_features-c,0.8,neuron_mean,svm,0.9607843137254902,0.696969696969697
2,retrained-wav2vec_features-c,0.8,neuron_std,log_reg,0.6078431372549019,0.45454545454545453
2,retrained-wav2vec_features-c,0.8,neuron_std,svm,0.9803921568627451,0.8181818181818182
2,retrained-wav2vec_features-c,0.7,neuron_mean,log_reg,0.5882352941176471,0.42424242424242425
2,retrained-wav2vec_features-c,0.7,neuron_mean,svm,0.9607843137254902,0.696969696969697
2,retrained-wav2vec_features-c,0.7,neuron_std,log_reg,0.5882352941176471,0.45454545454545453
2,retrained-wav2vec_features-c,0.7,neuron_std,svm,0.9607843137254902,0.7878787878787878
2,retrained-wav2vec_features-z,1,neuron_mean,log_reg,0.6666666666666666,0.45454545454545453
2,retrained-wav2vec_features-z,1,neuron_mean,svm,0.9019607843137255,0.6060606060606061
2,retrained-wav2vec_features-z,1,neuron_std,log_reg,0.7254901960784313,0.5454545454545454
2,retrained-wav2vec_features-z,1,neuron_std,svm,0.9803921568627451,0.696969696969697
2,retrained-wav2vec_features-z,0.9,neuron_mean,log_reg,0.6470588235294118,0.45454545454545453
2,retrained-wav2vec_features-z,0.9,neuron_mean,svm,0.8823529411764706,0.6060606060606061
2,retrained-wav2vec_features-z,0.9,neuron_std,log_reg,0.7254901960784313,0.5454545454545454
2,retrained-wav2vec_features-z,0.9,neuron_std,svm,0.9803921568627451,0.696969696969697
2,retrained-wav2vec_features-z,0.8,neuron_mean,log_reg,0.6274509803921569,0.45454545454545453
2,retrained-wav2vec_features-z,0.8,neuron_mean,svm,0.8823529411764706,0.6060606060606061
2,retrained-wav2vec_features-z,0.8,neuron_std,log_reg,0.7254901960784313,0.5757575757575758
2,retrained-wav2vec_features-z,0.8,neuron_std,svm,0.9803921568627451,0.6666666666666666
2,retrained-wav2vec_features-z,0.7,neuron_mean,log_reg,0.6274509803921569,0.45454545454545453
2,retrained-wav2vec_features-z,0.7,neuron_mean,svm,0.8823529411764706,0.6363636363636364
2,retrained-wav2vec_features-z,0.7,neuron_std,log_reg,0.6862745098039216,0.5757575757575758
2,retrained-wav2vec_features-z,0.7,neuron_std,svm,0.9607843137254902,0.6363636363636364
3,wav2vec_features-c,1,neuron_mean,log_reg,0.7254901960784313,0.3939393939393939
3,wav2vec_features-c,1,neuron_mean,svm,0.8431372549019608,0.48484848484848486
3,wav2vec_features-c,1,neuron_std,log_reg,0.7450980392156863,0.42424242424242425
3,wav2vec_features-c,1,neuron_std,svm,0.9607843137254902,0.42424242424242425
3,wav2vec_features-c,0.9,neuron_mean,log_reg,0.7058823529411765,0.36363636363636365
3,wav2vec_features-c,0.9,neuron_mean,svm,0.8235294117647058,0.48484848484848486
3,wav2vec_features-c,0.9,neuron_std,log_reg,0.7254901960784313,0.36363636363636365
3,wav2vec_features-c,0.9,neuron_std,svm,0.9411764705882353,0.45454545454545453
3,wav2vec_features-c,0.8,neuron_mean,log_reg,0.7058823529411765,0.36363636363636365
3,wav2vec_features-c,0.8,neuron_mean,svm,0.803921568627451,0.45454545454545453
3,wav2vec_features-c,0.8,neuron_std,log_reg,0.6862745098039216,0.36363636363636365
3,wav2vec_features-c,0.8,neuron_std,svm,0.9215686274509803,0.42424242424242425
3,wav2vec_features-c,0.7,neuron_mean,log_reg,0.6862745098039216,0.36363636363636365
3,wav2vec_features-c,0.7,neuron_mean,svm,0.803921568627451,0.42424242424242425
3,wav2vec_features-c,0.7,neuron_std,log_reg,0.6862745098039216,0.36363636363636365
3,wav2vec_features-c,0.7,neuron_std,svm,0.9215686274509803,0.3939393939393939
3,wav2vec_features-z,1,neuron_mean,log_reg,0.45098039215686275,0.24242424242424243
3,wav2vec_features-z,1,neuron_mean,svm,0.7647058823529411,0.5151515151515151
3,wav2vec_features-z,1,neuron_std,log_reg,0.45098039215686275,0.2727272727272727
3,wav2vec_features-z,1,neuron_std,svm,1.0,0.6666666666666666
3,wav2vec_features-z,0.9,neuron_mean,log_reg,0.43137254901960786,0.24242424242424243
3,wav2vec_features-z,0.9,neuron_mean,svm,0.7450980392156863,0.45454545454545453
3,wav2vec_features-z,0.9,neuron_std,log_reg,0.45098039215686275,0.2727272727272727
3,wav2vec_features-z,0.9,neuron_std,svm,1.0,0.6363636363636364
3,wav2vec_features-z,0.8,neuron_mean,log_reg,0.43137254901960786,0.24242424242424243
3,wav2vec_features-z,0.8,neuron_mean,svm,0.7254901960784313,0.36363636363636365
3,wav2vec_features-z,0.8,neuron_std,log_reg,0.45098039215686275,0.2727272727272727
3,wav2vec_features-z,0.8,neuron_std,svm,0.9803921568627451,0.6060606060606061
3,wav2vec_features-z,0.7,neuron_mean,log_reg,0.4117647058823529,0.24242424242424243
3,wav2vec_features-z,0.7,neuron_mean,svm,0.6470588235294118,0.3333333333333333
3,wav2vec_features-z,0.7,neuron_std,log_reg,0.45098039215686275,0.2727272727272727
3,wav2vec_features-z,0.7,neuron_std,svm,0.9803921568627451,0.6060606060606061
3,retrained-wav2vec_features-c,1,neuron_mean,log_reg,0.5098039215686274,0.24242424242424243
3,retrained-wav2vec_features-c,1,neuron_mean,svm,0.9215686274509803,0.6363636363636364
3,retrained-wav2vec_features-c,1,neuron_std,log_reg,0.49019607843137253,0.24242424242424243
3,retrained-wav2vec_features-c,1,neuron_std,svm,0.9607843137254902,0.7272727272727273
3,retrained-wav2vec_features-c,0.9,neuron_mean,log_reg,0.5098039215686274,0.24242424242424243
3,retrained-wav2vec_features-c,0.9,neuron_mean,svm,0.9215686274509803,0.6060606060606061
3,retrained-wav2vec_features-c,0.9,neuron_std,log_reg,0.49019607843137253,0.24242424242424243
3,retrained-wav2vec_features-c,0.9,neuron_std,svm,0.9411764705882353,0.7272727272727273
3,retrained-wav2vec_features-c,0.8,neuron_mean,log_reg,0.5098039215686274,0.24242424242424243
3,retrained-wav2vec_features-c,0.8,neuron_mean,svm,0.9019607843137255,0.5757575757575758
3,retrained-wav2vec_features-c,0.8,neuron_std,log_reg,0.47058823529411764,0.24242424242424243
3,retrained-wav2vec_features-c,0.8,neuron_std,svm,0.9411764705882353,0.7272727272727273
3,retrained-wav2vec_features-c,0.7,neuron_mean,log_reg,0.5098039215686274,0.24242424242424243
3,retrained-wav2vec_features-c,0.7,neuron_mean,svm,0.9019607843137255,0.5151515151515151
3,retrained-wav2vec_features-c,0.7,neuron_std,log_reg,0.47058823529411764,0.24242424242424243
3,retrained-wav2vec_features-c,0.7,neuron_std,svm,0.9411764705882353,0.7272727272727273
3,retrained-wav2vec_features-z,1,neuron_mean,log_reg,0.49019607843137253,0.30303030303030304
3,retrained-wav2vec_features-z,1,neuron_mean,svm,0.8627450980392157,0.6060606060606061
3,retrained-wav2vec_features-z,1,neuron_std,log_reg,0.5490196078431373,0.24242424242424243
3,retrained-wav2vec_features-z,1,neuron_std,svm,0.9803921568627451,0.696969696969697
3,retrained-wav2vec_features-z,0.9,neuron_mean,log_reg,0.5098039215686274,0.30303030303030304
3,retrained-wav2vec_features-z,0.9,neuron_mean,svm,0.8627450980392157,0.6060606060606061
3,retrained-wav2vec_features-z,0.9,neuron_std,log_reg,0.5098039215686274,0.24242424242424243
3,retrained-wav2vec_features-z,0.9,neuron_std,svm,0.9803921568627451,0.696969696969697
3,retrained-wav2vec_features-z,0.8,neuron_mean,log_reg,0.5098039215686274,0.3333333333333333
3,retrained-wav2vec_features-z,0.8,neuron_mean,svm,0.8431372549019608,0.5757575757575758
3,retrained-wav2vec_features-z,0.8,neuron_std,log_reg,0.49019607843137253,0.24242424242424243
3,retrained-wav2vec_features-z,0.8,neuron_std,svm,0.9607843137254902,0.696969696969697
3,retrained-wav2vec_features-z,0.7,neuron_mean,log_reg,0.5098039215686274,0.3333333333333333
3,retrained-wav2vec_features-z,0.7,neuron_mean,svm,0.8431372549019608,0.5757575757575758
3,retrained-wav2vec_features-z,0.7,neuron_std,log_reg,0.47058823529411764,0.24242424242424243
3,retrained-wav2vec_features-z,0.7,neuron_std,svm,0.9411764705882353,0.696969696969697
4,wav2vec_features-c,1,neuron_mean,log_reg,0.803921568627451,0.48484848484848486
4,wav2vec_features-c,1,neuron_mean,svm,0.9019607843137255,0.5454545454545454
4,wav2vec_features-c,1,neuron_std,log_reg,0.7647058823529411,0.45454545454545453
4,wav2vec_features-c,1,neuron_std,svm,1.0,0.5454545454545454
4,wav2vec_features-c,0.9,neuron_mean,log_reg,0.7647058823529411,0.5151515151515151
4,wav2vec_features-c,0.9,neuron_mean,svm,0.8823529411764706,0.5454545454545454
4,wav2vec_features-c,0.9,neuron_std,log_reg,0.7647058823529411,0.45454545454545453
4,wav2vec_features-c,0.9,neuron_std,svm,1.0,0.5151515151515151
4,wav2vec_features-c,0.8,neuron_mean,log_reg,0.7450980392156863,0.5151515151515151
4,wav2vec_features-c,0.8,neuron_mean,svm,0.8823529411764706,0.5757575757575758
4,wav2vec_features-c,0.8,neuron_std,log_reg,0.7450980392156863,0.45454545454545453
4,wav2vec_features-c,0.8,neuron_std,svm,1.0,0.5454545454545454
4,wav2vec_features-c,0.7,neuron_mean,log_reg,0.7254901960784313,0.5151515151515151
4,wav2vec_features-c,0.7,neuron_mean,svm,0.8823529411764706,0.5757575757575758
4,wav2vec_features-c,0.7,neuron_std,log_reg,0.7058823529411765,0.45454545454545453
4,wav2vec_features-c,0.7,neuron_std,svm,1.0,0.5454545454545454
4,wav2vec_features-z,1,neuron_mean,log_reg,0.43137254901960786,0.24242424242424243
4,wav2vec_features-z,1,neuron_mean,svm,0.7450980392156863,0.45454545454545453
4,wav2vec_features-z,1,neuron_std,log_reg,0.45098039215686275,0.24242424242424243
4,wav2vec_features-z,1,neuron_std,svm,1.0,0.6060606060606061
4,wav2vec_features-z,0.9,neuron_mean,log_reg,0.4117647058823529,0.24242424242424243
4,wav2vec_features-z,0.9,neuron_mean,svm,0.7450980392156863,0.45454545454545453
4,wav2vec_features-z,0.9,neuron_std,log_reg,0.43137254901960786,0.24242424242424243
4,wav2vec_features-z,0.9,neuron_std,svm,1.0,0.6060606060606061
4,wav2vec_features-z,0.8,neuron_mean,log_reg,0.39215686274509803,0.24242424242424243
