epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
11,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.109903212210432,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.018487658018437,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
12,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.105966394022725,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.025191675794085433,0.0,0.0,0.053738317757009345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.025423728813559324,0.02122641509433962,0.02373887240356083,0.039473684210526314,0.036170212765957444,0.013544018058690745,4.008761363814633,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
13,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.017412935323383085,0.0,0.0,0.05303030303030303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.014814814814814815,0.023529411764705882,0.014150943396226415,0.0,0.03333333333333333,0.0,4.096106027884665,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.02555677254472435,0.025191675794085433,0.02628696604600219,0.025191675794085433,0.0,0.0,0.05451713395638629,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02476780185758514,0.02598870056497175,0.02122641509433962,0.02373887240356083,0.041666666666666664,0.036170212765957444,0.014296463506395787,3.9946292627897955,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
14,0.02321724709784411,0.022388059701492536,0.024875621890547265,0.022388059701492536,0.0,0.0,0.0707070707070707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.022727272727272728,0.02345679012345679,0.03137254901960784,0.018867924528301886,0.0,0.044444444444444446,0.0,4.071881194612873,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.03285870755750274,0.03066812705366922,0.03723986856516977,0.03066812705366922,0.0,0.0,0.07009345794392523,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03199174406604747,0.03333333333333333,0.030660377358490566,0.027695351137487636,0.05043859649122807,0.0475177304964539,0.01730624529721595,3.9701205835415525,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
15,0.028192371475953566,0.029850746268656716,0.02736318407960199,0.02736318407960199,0.0,0.0,0.08585858585858586,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027777777777777776,0.028395061728395062,0.0392156862745098,0.0220125786163522,0.0,0.05396825396825397,0.0,4.030367824370984,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.040525739320920046,0.03943044906900329,0.04381161007667032,0.038335158817086525,0.0,0.0,0.08644859813084112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.038183694530443756,0.04180790960451977,0.03537735849056604,0.036597428288822946,0.06359649122807018,0.05815602836879433,0.0218209179834462,3.927072548004518,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
16,0.03233830845771144,0.029850746268656716,0.03482587064676617,0.03233830845771144,0.0,0.0,0.09848484848484848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.030303030303030304,0.03333333333333333,0.045098039215686274,0.025157232704402517,0.0,0.06190476190476191,0.0,3.9649758410097946,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.04892296458561519,0.047097480832420595,0.05257393209200438,0.047097480832420595,0.0,0.0,0.1043613707165109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04437564499484004,0.05141242937853107,0.04009433962264151,0.04846686449060336,0.07456140350877193,0.07092198581560284,0.025583145221971408,3.8598817321844194,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
17,0.04311774461028192,0.04228855721393035,0.0472636815920398,0.03980099502487562,0.0,0.0,0.13131313131313133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.047979797979797977,0.040740740740740744,0.054901960784313725,0.03773584905660377,0.0,0.08253968253968254,0.0,3.8831464220239944,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.058415480102227094,0.054764512595837894,0.05914567360350493,0.06133625410733844,0.0,0.0,0.12461059190031153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05263157894736842,0.061581920903954805,0.054245283018867926,0.04846686449060336,0.09210526315789473,0.08368794326241134,0.03160270880361174,3.766700791981848,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
18,0.04477611940298507,0.04477611940298507,0.04228855721393035,0.0472636815920398,0.0,0.0,0.13636363636363635,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06313131313131314,0.03580246913580247,0.06470588235294118,0.0330188679245283,0.0,0.08571428571428572,0.0,3.798287007346082,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.06790799561883899,0.0700985761226725,0.0700985761226725,0.06352683461117196,0.0,0.0,0.14485981308411214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0629514963880289,0.07062146892655367,0.060534591194968554,0.058358061325420374,0.10964912280701754,0.09645390070921986,0.03762227238525207,3.6652844064468098,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
19,0.05804311774461028,0.05472636815920398,0.06218905472636816,0.05721393034825871,0.0,0.0,0.17676767676767677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08333333333333333,0.04567901234567901,0.08431372549019608,0.04245283018867924,0.0,0.1111111111111111,0.0,3.722865470013215,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.07155896312522819,0.06571741511500548,0.07119386637458927,0.07776560788608981,0.0,0.0,0.1526479750778816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06811145510835913,0.07344632768361582,0.0660377358490566,0.06132542037586548,0.10964912280701754,0.10354609929078014,0.03762227238525207,3.5849210718941107,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
20,0.06135986733001658,0.06716417910447761,0.05721393034825871,0.05970149253731343,0.0,0.0,0.18686868686868688,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.09595959595959595,0.044444444444444446,0.09607843137254903,0.03930817610062893,0.0,0.11746031746031746,0.0,3.6640723688685477,1206,402,402,402,516,294,396,396,810,510,636,60,630,576,0.07703541438481197,0.07886089813800658,0.07447973713033954,0.07776560788608981,0.0,0.0,0.16433021806853582,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07430340557275542,0.07853107344632769,0.06682389937106918,0.06726013847675569,0.12719298245614036,0.10851063829787234,0.0436418359668924,3.5333900409878147,2739,913,913,913,840,615,1284,969,1770,1272,1011,456,1410,1329
