epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.01606425702811245,0.01195219123505976,0.017687074829931974,0.01859229747675963,0.05357142857142857,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.01838235294117647,0.014736842105263158,0.01564945226917058,0.01937984496124031,0.005291005291005291,3.119438310969573,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.020272515785975408,0.019940179461615155,0.020937188434695914,0.019940179461615155,0.050833333333333335,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.018962075848303395,0.02092675635276532,0.019007881316643487,0.01936685288640596,0.02465986394557823,3.0680061053817713,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
2,0.0142793395805444,0.014608233731739707,0.013605442176870748,0.014608233731739707,0.047619047619047616,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.014035087719298246,0.011737089201877934,0.01937984496124031,0.010582010582010581,3.1174283723435408,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.01694915254237288,0.01694915254237288,0.016450648055832504,0.01744765702891326,0.0425,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.015469061876247504,0.01768809167912307,0.017153453871117292,0.015270018621973929,0.02040816326530612,3.040581563415223,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
3,0.0142793395805444,0.014608233731739707,0.013605442176870748,0.014608233731739707,0.047619047619047616,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.014705882352941176,0.014035087719298246,0.011737089201877934,0.01937984496124031,0.010582010582010581,3.1118767060429215,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.017115320704553006,0.01694915254237288,0.01744765702891326,0.01694915254237288,0.042916666666666665,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.015968063872255488,0.01768809167912307,0.016689847009735744,0.01601489757914339,0.02040816326530612,3.0239133267515164,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
4,0.015618027666220438,0.014608233731739707,0.017687074829931974,0.014608233731739707,0.052083333333333336,0.0,0.0,0.0,0.0,0.2998661311914324,0.29747675962815406,0.3047619047619048,0.29747675962815406,1.0,0.0,0.0,0.0,0.0,0.3639705882352941,0.2631578947368421,0.29107981220657275,0.29069767441860467,0.3968253968253968,0.015931372549019607,0.015438596491228071,0.012519561815336464,0.020671834625323,0.015873015873015872,3.098503851560757,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.014955134596211365,0.015952143569292122,0.013958125623130608,0.014955134596211365,0.0375,0.0,0.0,0.0,0.0,0.3988035892323031,0.3988035892323031,0.3988035892323031,0.3988035892323031,1.0,0.0,0.0,0.0,0.0,0.37425149700598803,0.4110612855007474,0.38247566063977745,0.36312849162011174,0.5102040816326531,0.017964071856287425,0.013452914798206279,0.017153453871117292,0.01564245810055866,0.00935374149659864,3.0047675779627263,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
5,0.020526550647032574,0.01593625498007968,0.021768707482993196,0.02390438247011952,0.06845238095238096,0.0,0.0,0.0,0.0,0.30165104863900044,0.29880478087649404,0.3074829931972789,0.29880478087649404,1.0,0.0,0.0,0.0,0.006734006734006734,0.3639705882352941,0.26596491228070174,0.29107981220657275,0.29457364341085274,0.4021164021164021,0.023284313725490197,0.018947368421052633,0.017214397496087636,0.023255813953488372,0.031746031746031744,3.058355138217802,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.021768029245596544,0.020937188434695914,0.02193419740777667,0.02243270189431705,0.05458333333333333,0.0,0.0,0.0,0.0,0.39980059820538383,0.3988035892323031,0.39930209371884345,0.401296111665005,1.0,0.0,0.0,0.0,0.0056179775280898875,0.37624750499001997,0.4115595416043846,0.38433008808530367,0.3638733705772812,0.5102040816326531,0.016966067864271458,0.024165421026407573,0.022716736207695872,0.020484171322160148,0.02295918367346939,2.9557911551802927,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
6,0.037037037037037035,0.033200531208499334,0.0380952380952381,0.0398406374501992,0.09226190476190477,0.0019157088122605363,0.03787878787878788,0.05263157894736842,0.003367003367003367,0.36189201249442216,0.36387782204515273,0.3551020408163265,0.3665338645418327,0.8422619047619048,0.12452107279693486,0.0,0.0,0.30303030303030304,0.3860294117647059,0.3480701754385965,0.3544600938967136,0.3372093023255814,0.5132275132275133,0.0428921568627451,0.03368421052631579,0.03990610328638498,0.03617571059431524,0.021164021164021163,2.9663447082601238,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.03406447324692589,0.03589232303090728,0.03339980059820538,0.03290129611166501,0.07166666666666667,0.0,0.025,0.005868544600938967,0.003745318352059925,0.4307078763708873,0.43519441674975073,0.4391824526420738,0.41774675972083747,0.8879166666666667,0.13279132791327913,0.0,0.04929577464788732,0.300561797752809,0.41916167664670656,0.43647234678624813,0.4144645340751043,0.3914338919925512,0.5501700680272109,0.03592814371257485,0.03313403089187843,0.03847936949466852,0.027188081936685288,0.041666666666666664,2.8596293638615404,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
7,0.047746541722445336,0.04780876494023904,0.047619047619047616,0.04780876494023904,0.10119047619047619,0.0,0.012626262626262626,0.10526315789473684,0.04713804713804714,0.3150379294957608,0.3293492695883134,0.3346938775510204,0.2815405046480744,0.7961309523809523,0.009578544061302681,0.0,0.2631578947368421,0.2542087542087542,0.3541666666666667,0.2926315789473684,0.29029733959311427,0.3242894056847545,0.4444444444444444,0.051470588235294115,0.0456140350877193,0.0406885758998435,0.05555555555555555,0.06349206349206349,2.845795099887397,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.05666334330342306,0.05732801595214357,0.054835493519441676,0.05782652043868395,0.10291666666666667,0.0013550135501355014,0.010416666666666666,0.03755868544600939,0.047752808988764044,0.43386507145230974,0.4406779661016949,0.4476570289132602,0.4132602193419741,0.8470833333333333,0.012195121951219513,0.0,0.3884976525821596,0.22284644194756553,0.4091816367265469,0.4461883408071749,0.40241075567918405,0.42309124767225326,0.516156462585034,0.05738522954091816,0.05630293971101146,0.05748725081131201,0.05176908752327747,0.0663265306122449,2.7298270390650963,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
8,0.06381079875055778,0.05976095617529881,0.07210884353741497,0.05976095617529881,0.13392857142857142,0.0019157088122605363,0.04040404040404041,0.08771929824561403,0.05218855218855219,0.30522088353413657,0.31208499335989376,0.31700680272108844,0.2868525896414343,0.8139880952380952,0.0,0.0,0.5614035087719298,0.17676767676767677,0.3553921568627451,0.27649122807017545,0.26917057902973396,0.3397932816537468,0.4074074074074074,0.06740196078431372,0.061754385964912284,0.06025039123630673,0.06201550387596899,0.09523809523809523,2.756081672610581,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.08773678963110668,0.09421734795613161,0.08325024925224327,0.08574277168494517,0.15416666666666667,0.0,0.029166666666666667,0.07981220657276995,0.05805243445692884,0.4519774011299435,0.4591226321036889,0.4611166500498505,0.4356929212362911,0.8645833333333334,0.0,0.0,0.5751173708920188,0.1451310861423221,0.4151696606786427,0.47035376183358246,0.4019471488178025,0.4633147113594041,0.5178571428571429,0.08483033932135728,0.08918784255107125,0.08205841446453407,0.08417132216014897,0.10629251700680271,2.608463245517354,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
9,0.08165997322623829,0.09296148738379814,0.08163265306122448,0.0703851261620186,0.1800595238095238,0.0038314176245210726,0.03787878787878788,0.08771929824561403,0.06734006734006734,0.31280678268630074,0.3293492695883134,0.3251700680272109,0.28419654714475434,0.8407738095238095,0.05747126436781609,0.0,0.42105263157894735,0.13804713804713806,0.36151960784313725,0.2849122807017544,0.282472613458529,0.3449612403100775,0.3862433862433862,0.08823529411764706,0.07789473684210527,0.07668231611893583,0.082687338501292,0.1111111111111111,2.6668536123661313,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.1036889332003988,0.10767696909272183,0.09820538384845463,0.10518444666001994,0.19291666666666665,0.0,0.023958333333333335,0.07276995305164319,0.07116104868913857,0.4675972083748754,0.47208374875373876,0.47357926221335994,0.4571286141575274,0.89375,0.06368563685636856,0.0,0.5903755868544601,0.11142322097378277,0.4296407185628742,0.48654708520179374,0.41121928604543345,0.4834264432029795,0.5348639455782312,0.09830339321357286,0.10637767812655705,0.09782104775150673,0.09646182495344506,0.13095238095238096,2.504203312101456,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
10,0.09236947791164658,0.10092961487383798,0.09659863945578231,0.0796812749003984,0.1875,0.009578544061302681,0.04040404040404041,0.07017543859649122,0.09427609427609428,0.30566711289602855,0.3160690571049137,0.3238095238095238,0.2775564409030544,0.8556547619047619,0.04597701149425287,0.0,0.49122807017543857,0.09764309764309764,0.3627450980392157,0.2729824561403509,0.2730829420970266,0.3423772609819121,0.37566137566137564,0.10049019607843138,0.08771929824561403,0.09702660406885759,0.0710594315245478,0.14814814814814814,2.597666163787093,2241,753,735,753,672,522,396,57,594,816,1425,1278,774,189,0.12745098039215685,0.12911266201395813,0.12462612163509472,0.12861415752741776,0.225,0.008130081300813009,0.036458333333333336,0.06807511737089202,0.1198501872659176,0.47058823529411764,0.47507477567298106,0.47756729810568294,0.4591226321036889,0.9033333333333333,0.06504065040650407,0.0010416666666666667,0.6244131455399061,0.07771535580524344,0.43313373253493015,0.4892874937717987,0.4102920723226704,0.4908752327746741,0.5348639455782312,0.1277445109780439,0.12730443447932238,0.12517385257301808,0.11024208566108007,0.17091836734693877,2.429361502487979,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176
