epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
11,0.044361525704809286,0.0472636815920398,0.03980099502487562,0.046019900497512436,0.05254901960784314,0.014184397163120567,0.0,0.125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04081632653061224,0.045915324985092425,0.03768115942028986,0.039723661485319514,0.06205673758865248,0.05758157389635317,0.020023557126030624,4.3177499344099814,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.06514657980456026,0.07035830618892508,0.046905537459283386,0.0781758957654723,0.06065664997217585,0.0148975791433892,0.0,0.1257183908045977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07215265354800239,0.061133879781420764,0.055919615552643076,0.08762581409117821,0.03827751196172249,0.07945900253592561,0.017045454545454544,3.95346814879377,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
12,0.054311774461028195,0.05970149253731343,0.0472636815920398,0.055970149253731345,0.05176470588235294,0.0425531914893617,0.0,0.1840277777777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04625850340136054,0.057841383422778773,0.06086956521739131,0.038860103626943004,0.07801418439716312,0.061420345489443376,0.04122497055359246,4.1286133217376655,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.098371335504886,0.11270358306188925,0.0736156351791531,0.10879478827361563,0.06121313299944352,0.027932960893854747,0.0,0.22485632183908047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12045319022063208,0.08572404371584699,0.09086937527304499,0.11249259917110717,0.08771929824561403,0.11214426599041984,0.052083333333333336,3.771301229768933,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
13,0.07338308457711443,0.07587064676616916,0.08582089552238806,0.05845771144278607,0.09647058823529411,0.014184397163120567,0.0,0.1736111111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04081632653061224,0.08765652951699464,0.07971014492753623,0.037132987910189985,0.1400709219858156,0.10044785668586052,0.023557126030624265,3.942456297613495,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.09359391965255158,0.08794788273615635,0.11270358306188925,0.08013029315960912,0.07011686143572621,0.027932960893854747,0.0,0.19755747126436782,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1001788908765653,0.0898224043715847,0.09043250327653997,0.08999407933688573,0.11483253588516747,0.10312764158918004,0.061553030303030304,3.7162111760739007,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
14,0.06674958540630183,0.06592039800995025,0.06840796019900497,0.06592039800995025,0.07450980392156863,0.028368794326241134,0.0,0.2013888888888889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.047619047619047616,0.07513416815742398,0.06811594202898551,0.04835924006908463,0.10283687943262411,0.08509277031349968,0.03297997644287397,3.8593118392412937,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.11444082519001086,0.12117263843648209,0.11074918566775244,0.11140065146579804,0.07067334446299388,0.0297951582867784,0.0,0.26436781609195403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1383422778771616,0.10075136612021858,0.10353866317169069,0.1267021906453523,0.12121212121212122,0.13045928430543816,0.06060606060606061,3.528880245444829,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
15,0.0779436152570481,0.07835820895522388,0.07338308457711443,0.08208955223880597,0.09490196078431372,0.04964539007092199,0.0,0.1840277777777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0761904761904762,0.07871198568872988,0.09130434782608696,0.05958549222797927,0.09929078014184398,0.09916826615483046,0.038869257950530034,3.8449169051390184,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.1237785016286645,0.1257328990228013,0.10944625407166124,0.13615635179153093,0.09404563160823595,0.04189944134078212,0.0,0.2557471264367816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14251639833035182,0.1130464480874317,0.11489733508082133,0.13854351687388988,0.11642743221690591,0.13975767821921667,0.07007575757575757,3.4361519249202632,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
16,0.09411276948590382,0.0945273631840796,0.09203980099502487,0.09577114427860696,0.10588235294117647,0.10283687943262411,0.0,0.21875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06938775510204082,0.10494931425163984,0.1318840579710145,0.05094991364421416,0.13652482269503546,0.11132437619961612,0.0624263839811543,3.745829213713334,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.1444082519001086,0.15700325732899023,0.1270358306188925,0.149185667752443,0.10573177518085698,0.0893854748603352,0.0,0.27227011494252873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.148479427549195,0.14207650273224043,0.15159458278724333,0.15393724097098876,0.09250398724082935,0.16314454775993237,0.08143939393939394,3.408329648691979,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
17,0.09618573797678276,0.09328358208955224,0.10945273631840796,0.08582089552238806,0.11215686274509803,0.0673758865248227,0.0,0.24305555555555555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05442176870748299,0.11449016100178891,0.13043478260869565,0.045768566493955096,0.15780141843971632,0.12028150991682661,0.05182567726737338,3.586636519550684,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.15591748099891423,0.16091205211726384,0.16156351791530946,0.14527687296416938,0.11519198664440734,0.07728119180633147,0.0,0.3074712643678161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.16696481812760883,0.14959016393442623,0.14766273481869813,0.16341030195381884,0.16586921850079744,0.17526063679909834,0.09090909090909091,3.3233027852707653,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
18,0.08291873963515754,0.09328358208955224,0.08333333333333333,0.07213930348258707,0.09098039215686274,0.05673758865248227,0.0,0.2361111111111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058503401360544216,0.0936195587358378,0.08405797101449275,0.06217616580310881,0.12411347517730496,0.1017274472168906,0.048292108362779744,3.665059154504172,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.14397394136807817,0.15309446254071662,0.14267100977198696,0.13615635179153093,0.11741791875347801,0.04748603351955307,0.0,0.2880747126436782,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.16159809183064996,0.13387978142076504,0.11664482306684142,0.17702782711663706,0.1547049441786284,0.16455339532262608,0.07481060606060606,3.286207035491314,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
19,0.09701492537313433,0.1044776119402985,0.09328358208955224,0.09328358208955224,0.11372549019607843,0.07092198581560284,0.0,0.23958333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0653061224489796,0.11091234347048301,0.09855072463768116,0.07512953367875648,0.1400709219858156,0.12284069097888675,0.04946996466431095,3.5840716259198797,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.1728555917480999,0.18110749185667752,0.16872964169381108,0.16872964169381108,0.1335559265442404,0.0633147113594041,0.0,0.3505747126436782,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.19439475253428742,0.16051912568306012,0.15858453473132372,0.19301361752516283,0.17065390749601275,0.19752042828965907,0.08996212121212122,3.2064351333469054,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
20,0.11650082918739635,0.12313432835820895,0.11691542288557213,0.10945273631840796,0.13568627450980392,0.0851063829787234,0.0,0.2916666666666667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0707482993197279,0.13655336911150864,0.1536231884057971,0.06476683937823834,0.1773049645390071,0.14267434420985284,0.06831566548881036,3.5092239000310945,2412,804,804,804,1275,282,567,288,735,1677,690,1158,564,1563,849,0.18610206297502715,0.19543973941368079,0.18306188925081432,0.17980456026058633,0.14301613800779076,0.08379888268156424,0.0,0.36637931034482757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.20155038759689922,0.17725409836065573,0.17518567059851464,0.19775014801657786,0.19457735247208932,0.21020005635390251,0.10511363636363637,3.1644275975926304,4605,1535,1535,1535,1797,1074,342,1392,1677,2928,2289,1689,627,3549,1056
